layer,head,delta_prefix_mass_head,clean_prefix_mass_head,corrupt_prefix_mass_head
4,20.0,-0.014129638671875,0.6544189453125,0.668548583984375
4,21.0,-0.0006103515625,0.82122802734375,0.82183837890625
4,22.0,-0.007843017578125,0.815155029296875,0.822998046875
4,23.0,0.000152587890625,0.78826904296875,0.788116455078125
4,24.0,-0.00115966796875,0.8155517578125,0.81671142578125
4,25.0,-0.010009765625,0.59442138671875,0.60443115234375
4,26.0,-0.004058837890625,0.610321044921875,0.6143798828125
4,27.0,-0.001922607421875,0.57330322265625,0.575225830078125
4,28.0,-0.000732421875,0.831298828125,0.83203125
4,29.0,-0.001220703125,0.566314697265625,0.567535400390625
4,30.0,0.000701904296875,0.629241943359375,0.6285400390625
4,31.0,0.00384521484375,0.7640380859375,0.76019287109375
5,0.0,0.001251220703125,0.512939453125,0.511688232421875
